frames_to_process,split_no,flops,total_processing_time,single_frame_time,left_output_size,avg_consec_inference_gap,total_left_model_time,total_right_model_time,Model
10,595,0.0672,7.478487,0.7478487,1664,0.01439144444,7.336795,0.054077,DenseNet169
10,1,0,11.911862,1.1911862,158700,0.8949085556,0.501343,0,DenseNet121
10,1,0,11.915139,1.1915139,158700,0.312397,0.501476,0,DenseNet121
10,2,0.0024,26.982921,2.6982921,802816,1.536475444,0.451502,0,DenseNet121
10,2,0.0024,26.984533,2.6984533,802816,1.810894,0.482634,0,DenseNet121
10,3,0.0024,27.013178,2.7013178,802816,2.369964333,0.433248,0,DenseNet121
10,3,0.0024,27.012717,2.7012717,802816,2.559741,0.476592,16.358113,DenseNet121
10,4,0.0024,18.176668,1.8176668,802816,1.765159222,0.456934,0,DenseNet121
10,4,0.0024,18.180939,1.8180939,802816,1.765273,0.537458,8.359984,DenseNet121
10,5,0.0024,19.59975,1.959975,831744,1.927961778,0.51982,8.136736,DenseNet121
10,5,0.0024,19.600801,1.9600801,831744,1.927999889,0.45997,0,DenseNet121
10,6,0.0024,14.193526,1.4193526,200704,1.392713111,0.430336,0,DenseNet121
10,6,0.0024,14.187436,1.4187436,200704,1.392844556,0.471425,8.792016,DenseNet121
10,13,0.0052,14.525863,1.4525863,301056,1.406799111,0.568022,0,DenseNet121
10,13,0.0052,14.525645,1.4525645,301056,1.406898333,0.568987,9.596249,DenseNet121
10,20,0.0083,18.154289,1.8154289,401408,1.735946222,0.792205,0,DenseNet121
10,20,0.0083,18.139427,1.8139427,401408,1.735912111,0.77441,8.026108,DenseNet121
10,27,0.0116,18.588979,1.8588979,501760,1.762841667,0.771385,0,DenseNet121
10,27,0.0116,18.589317,1.8589317,501760,1.762894889,0.819733,8.921359,DenseNet121
10,34,0.0152,21.303611,2.1303611,602112,2.054505889,0.913852,0,DenseNet121
10,34,0.0152,21.304076,2.1304076,602112,2.054616556,0.919689,7.614774,DenseNet121
10,41,0.0191,23.409285,2.3409285,702464,2.213190556,1.067771,0,DenseNet121
